Rk,School,G,Tm.,Opp.,PPG,OPPG,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,STL/TOV,PF,PFPG,FT/FGA,FGPG,FGAPG,3PPG,3PAPG,FTPG,FTAPG,ORBPG,TRBPG,APG,SPG,BPG,TOPG,AST/TO,3P Ratio,NET
51,Central Florida,31,2236,1993,72.12903226,64.29032258,765,1652,0.463,211,596,0.354,495,767,0.645,300,1139,411,178,139,367,0.485013624,524,16.90322581,0.299636804,24.67741935,53.29032258,6.806451613,19.22580645,15.96774194,24.74193548,9.677419355,36.74193548,13.25806452,5.741935484,4.483870968,11.83870968,1.119891008,0.275816993,0.914529915
52,Central Michigan,34,2810,2590,82.64705882,76.17647059,959,2113,0.454,294,793,0.371,598,888,0.673,412,1292,448,258,105,412,0.626213592,579,17.02941176,0.283009938,28.20588235,62.14705882,8.647058824,23.32352941,17.58823529,26.11764706,12.11764706,38,13.17647059,7.588235294,3.088235294,12.11764706,1.087378641,0.306569343,0.678062678
53,Charleston Southern,32,2439,2230,76.21875,69.6875,871,2032,0.429,317,901,0.352,380,562,0.676,390,1200,459,252,106,414,0.608695652,537,16.78125,0.187007874,27.21875,63.5,9.90625,28.15625,11.875,17.5625,12.1875,37.5,14.34375,7.875,3.3125,12.9375,1.108695652,0.363949483,0.438746439
54,Charlotte,29,1776,1992,61.24137931,68.68965517,598,1441,0.415,191,615,0.311,389,524,0.742,199,892,288,138,101,418,0.330143541,490,16.89655172,0.269951423,20.62068966,49.68965517,6.586206897,21.20689655,13.4137931,18.06896552,6.862068966,30.75862069,9.931034483,4.75862069,3.482758621,14.4137931,0.688995215,0.319397993,0.253561254
55,Chattanooga,32,2268,2376,70.875,74.25,833,1881,0.443,290,795,0.365,312,457,0.683,278,1096,419,139,79,409,0.339853301,553,17.28125,0.165869219,26.03125,58.78125,9.0625,24.84375,9.75,14.28125,8.6875,34.25,13.09375,4.34375,2.46875,12.78125,1.024449878,0.348139256,0.216524217
56,Chicago State,32,1970,2710,61.5625,84.6875,718,1749,0.411,141,468,0.301,393,582,0.675,249,993,373,193,72,512,0.376953125,625,19.53125,0.224699828,22.4375,54.65625,4.40625,14.625,12.28125,18.1875,7.78125,31.03125,11.65625,6.03125,2.25,16,0.728515625,0.19637883,0.005698006
57,Cincinnati,33,2369,2058,71.78787879,62.36363636,822,1903,0.432,220,629,0.35,505,719,0.702,424,1193,451,208,150,347,0.599423631,529,16.03030303,0.265370468,24.90909091,57.66666667,6.666666667,19.06060606,15.3030303,21.78787879,12.84848485,36.15151515,13.66666667,6.303030303,4.545454545,10.51515152,1.299711816,0.267639903,0.928774929
58,Citadel,30,2553,2584,85.1,86.13333333,899,2010,0.447,370,1076,0.344,385,523,0.736,322,1107,463,201,110,386,0.520725389,528,17.6,0.191542289,29.96666667,67,12.33333333,35.86666667,12.83333333,17.43333333,10.73333333,36.9,15.43333333,6.7,3.666666667,12.86666667,1.199481865,0.411568409,0.219373219
59,Clemson,32,2209,2042,69.03125,63.8125,791,1747,0.453,207,629,0.329,420,572,0.734,286,1134,394,208,139,427,0.487119438,528,16.5,0.240412135,24.71875,54.59375,6.46875,19.65625,13.125,17.875,8.9375,35.4375,12.3125,6.5,4.34375,13.34375,0.922716628,0.261694058,0.9002849
60,Cleveland State,31,2300,2437,74.19354839,78.61290323,799,1834,0.436,303,820,0.37,399,585,0.682,303,1094,460,174,97,412,0.422330097,551,17.77419355,0.217557252,25.77419355,59.16129032,9.774193548,26.4516129,12.87096774,18.87096774,9.774193548,35.29032258,14.83870968,5.612903226,3.129032258,13.29032258,1.116504854,0.37922403,0.190883191
61,Coastal Carolina,31,2364,2265,76.25806452,73.06451613,797,1772,0.45,249,680,0.366,521,724,0.72,338,1138,406,196,76,442,0.443438914,638,20.58064516,0.294018059,25.70967742,57.16129032,8.032258065,21.93548387,16.80645161,23.35483871,10.90322581,36.70967742,13.09677419,6.322580645,2.451612903,14.25806452,0.918552036,0.312421581,0.535612536
62,Colgate,34,2578,2381,75.82352941,70.02941176,930,1939,0.48,305,786,0.388,413,557,0.741,319,1209,531,210,120,443,0.474040632,532,15.64705882,0.21299639,27.35294118,57.02941176,8.970588235,23.11764706,12.14705882,16.38235294,9.382352941,35.55882353,15.61764706,6.176470588,3.529411765,13.02941176,1.198645598,0.327956989,0.623931624
63,College of Charleston,33,2453,2265,74.33333333,68.63636364,878,1818,0.483,227,667,0.34,470,615,0.764,260,1060,387,216,76,347,0.622478386,486,14.72727273,0.258525853,26.60606061,55.09090909,6.878787879,20.21212121,14.24242424,18.63636364,7.878787879,32.12121212,11.72727273,6.545454545,2.303030303,10.51515152,1.115273775,0.258542141,0.695156695
64,Colorado State,32,2393,2406,74.78125,75.1875,866,1818,0.476,259,722,0.359,402,579,0.694,256,1080,472,200,74,372,0.537634409,522,16.3125,0.221122112,27.0625,56.8125,8.09375,22.5625,12.5625,18.09375,8,33.75,14.75,6.25,2.3125,11.625,1.268817204,0.299076212,0.461538462
65,Colorado,33,2439,2228,73.90909091,67.51515152,852,1867,0.456,212,654,0.324,523,700,0.747,339,1239,440,169,100,445,0.379775281,574,17.39393939,0.280128548,25.81818182,56.57575758,6.424242424,19.81818182,15.84848485,21.21212121,10.27272727,37.54545455,13.33333333,5.121212121,3.03030303,13.48484848,0.988764045,0.248826291,0.811965812
66,Columbia,28,2059,2052,73.53571429,73.28571429,778,1721,0.452,237,655,0.362,266,378,0.704,255,986,443,218,78,366,0.595628415,539,19.25,0.154561302,27.78571429,61.46428571,8.464285714,23.39285714,9.5,13.5,9.107142857,35.21428571,15.82142857,7.785714286,2.785714286,13.07142857,1.210382514,0.304627249,0.441595442
67,Connecticut,33,2436,2354,73.81818182,71.33333333,874,1959,0.446,252,732,0.344,436,641,0.68,380,1167,422,200,145,427,0.468384075,643,19.48484848,0.222562532,26.48484848,59.36363636,7.636363636,22.18181818,13.21212121,19.42424242,11.51515152,35.36363636,12.78787879,6.060606061,4.393939394,12.93939394,0.988290398,0.288329519,0.729344729
68,Coppin State,33,2118,2507,64.18181818,75.96969697,710,1827,0.389,240,841,0.285,458,689,0.665,314,1218,326,169,115,555,0.304504505,619,18.75757576,0.250684182,21.51515152,55.36363636,7.272727273,25.48484848,13.87878788,20.87878788,9.515151515,36.90909091,9.878787879,5.121212121,3.484848485,16.81818182,0.587387387,0.338028169,0.025641026
69,Cornell,30,2060,2113,68.66666667,70.43333333,719,1648,0.436,233,707,0.33,389,541,0.719,188,983,431,177,103,394,0.449238579,474,15.8,0.236043689,23.96666667,54.93333333,7.766666667,23.56666667,12.96666667,18.03333333,6.266666667,32.76666667,14.36666667,5.9,3.433333333,13.13333333,1.093908629,0.324061196,0.444444444
70,Creighton,32,2520,2362,78.75,73.8125,901,1870,0.482,348,883,0.394,370,540,0.685,262,1089,511,216,79,419,0.515513126,536,16.75,0.197860963,28.15625,58.4375,10.875,27.59375,11.5625,16.875,8.1875,34.03125,15.96875,6.75,2.46875,13.09375,1.219570406,0.386237514,0.849002849
71,Dartmouth,30,2160,2116,72,70.53333333,791,1748,0.453,264,719,0.367,314,435,0.722,246,1020,415,159,98,361,0.440443213,468,15.6,0.179633867,26.36666667,58.26666667,8.8,23.96666667,10.46666667,14.5,8.2,34,13.83333333,5.3,3.266666667,12.03333333,1.149584488,0.333754741,0.381766382
72,Davidson,33,2328,2140,70.54545455,64.84848485,822,1834,0.448,300,856,0.35,384,514,0.747,256,1156,476,168,81,363,0.462809917,521,15.78787879,0.209378408,24.90909091,55.57575758,9.090909091,25.93939394,11.63636364,15.57575758,7.757575758,35.03030303,14.42424242,5.090909091,2.454545455,11,1.311294766,0.364963504,0.786324786
73,Dayton,32,2333,2105,72.90625,65.78125,872,1734,0.503,200,599,0.334,389,564,0.69,257,1116,529,161,79,403,0.399503722,444,13.875,0.224336794,27.25,54.1875,6.25,18.71875,12.15625,17.625,8.03125,34.875,16.53125,5.03125,2.46875,12.59375,1.312655087,0.229357798,0.803418803
74,Delaware State,31,1956,2371,63.09677419,76.48387097,695,1963,0.354,234,789,0.297,332,489,0.679,378,1144,333,214,65,435,0.491954023,589,19,0.169128884,22.41935484,63.32258065,7.548387097,25.4516129,10.70967742,15.77419355,12.19354839,36.90322581,10.74193548,6.903225806,2.096774194,14.03225806,0.765517241,0.336690647,0
75,Delaware,33,2352,2380,71.27272727,72.12121212,830,1808,0.459,282,746,0.378,410,564,0.727,254,1083,425,149,78,378,0.394179894,523,15.84848485,0.226769912,25.15151515,54.78787879,8.545454545,22.60606061,12.42424242,17.09090909,7.696969697,32.81818182,12.87878788,4.515151515,2.363636364,11.45454545,1.124338624,0.339759036,0.321937322
